,DDE_HD,DDE_DD,DDE_QK,DDE_QD,DDE_VM,DDE_WV,DDE_MK,DDE_MD,DDE_GP,DDE_DN,DDE_AI,DDE_AH,DDE_SS,DDE_TT,CTDC_secondarystruct.G3,QSO3_SC_M,CTDD_hydrophobicity_CASG920101.3.residue75,DDR_N,CTDD_hydrophobicity_CASG920101.3.residue0,CTDC_secondarystruct.G1,DDE_YL,DDE_VD,MSW__27,Z3__7,CKSAAGP_uncharger.uncharger.gap1,CKSAAP_TS.gap3,QSO3_SC_L,CKSAAP_IY.gap2,DDE_DQ,DDE_PS,MSW__7,DDE_LI,CTDC_hydrophobicity_ENGD860101.G3,CKSAAP_NG.gap1,AAC_K,DDE_HE,PAAC_Xc1.R,CTDD_polarity.2.residue50,CTDD_polarity.2.residue0,CTriad_g6.g1.g1,CTriad_g4.g3.g1,Z5__26,CKSAAP_AL.gap1,DDE_DP,CKSAAP_VS.gap2,NMBroto_CHAM810101.lag2,Z3__21,CTriad_g6.g3.g2,GTPC_postivecharger.alphaticr.aromatic,CKSAAGP_alphaticr.aromatic.gap4,Geary_CHAM820102.lag3,Z3__27,Z5__46,DDE_EK,CKSAAP_HR.gap3,Geary_CHAM820101.lag3,TM_tend,formula_H,CTDT_hydrophobicity_PONP930101.Tr1221,MSW__16,MSW__8,NMBroto_CIDH920105.lag2,Z5__44,DDE_GL,CTDD_hydrophobicity_FASG890101.1.residue0,CKSAAP_ET.gap3,OVP_Hydrophobic_N4,DDE_SL,DDE_PP,Charge_phys,y
seq50|1|positive,-0.14425,-0.20744,-0.22883,-0.18011,-0.11946,-0.13001,6.30763,-0.13489,-0.24827,-0.19886,-0.27295,-0.17397,-0.26697,-0.24643,0.875,0.79194,1.04738,1.04303,-0.35822,-0.17695,-0.25519,-0.26769,0.52884,1.64592,-0.79504,-0.22454,-0.44059,-0.1838,4.89079,-0.27867,0.14723,-0.29244,-0.29911,-0.19169,-0.29705,-0.13857,0.33944,1.84731,-0.5874,-0.28071,-0.21525,0.7276,-0.30461,-0.21571,-0.2232,1.89752,-0.32344,-0.23907,-0.24428,-0.59064,0.75511,0.80778,0.46926,-0.28176,-0.10657,0.02781,-0.46634,0.44322,0.62326,0.13686,0.82127,0.53364,1.03392,-0.31883,-0.84538,-0.202,0.73019,-0.35722,-0.18643,0.15736,1
seq51|1|positive,-0.14425,3.66008,-0.22883,-0.18011,-0.11946,-0.13001,-0.14945,-0.13489,-0.24827,3.50218,-0.27295,-0.17397,-0.26697,-0.24643,1.26488,-0.51986,0.52198,0.65292,0.98476,-0.17695,-0.25519,-0.26769,-0.85945,0.5397,-0.21662,-0.22454,-0.9666,-0.1838,4.89079,-0.27867,1.08055,-0.29244,-1.12067,-0.19169,-0.29705,-0.13857,1.42406,-0.55375,-0.02932,-0.28071,-0.21525,-0.81146,-0.30461,-0.21571,-0.2232,0.46163,-0.21917,-0.23907,-0.24428,-0.59064,0.56357,-2.32732,0.88048,2.88319,-0.10657,2.42727,-1.61013,0.9489,0.19543,-0.00942,1.83986,0.86826,0.60943,-0.31883,-0.84538,-0.202,-1.36951,-0.35722,-0.18643,0.39698,1
seq52|1|positive,-0.14425,-0.20744,-0.22883,-0.18011,-0.11946,-0.13001,-0.14945,-0.13489,-0.24827,-0.19886,-0.27295,-0.17397,-0.26697,-0.24643,-0.29463,0.61578,1.22251,0.33056,-0.35822,1.17371,-0.25519,-0.26769,-1.13475,0.69787,-0.21662,-0.22454,-0.9666,-0.1838,-0.19234,-0.27867,0.93541,-0.29244,-0.70989,-0.19169,1.86985,-0.13857,-0.75649,1.31375,2.48206,-0.28071,-0.21525,-1.77874,-0.30461,-0.21571,-0.2232,-0.19962,-0.59489,-0.23907,-0.24428,-0.59064,-0.98062,-0.69721,-0.16705,-0.28176,-0.10657,1.19083,-0.16408,1.37029,-0.2324,-0.06499,0.14468,0.29832,0.18942,-0.31883,-0.84538,-0.202,0.73019,-0.35722,-0.18643,-1.20638,1
seq53|1|positive,-0.12453,-0.19626,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,-0.21439,-0.18816,-0.24143,-0.13765,-0.20814,-0.20684,0.35516,-0.51986,0.93063,0.44554,1.43242,0.27327,-0.22045,-0.24832,-0.61617,1.20433,-0.79504,-0.22454,-0.3226,-0.1838,-0.17764,-0.21124,0.57511,-0.24955,-1.2576,-0.19169,-1.01935,-0.11703,1.3826,-0.37589,0.34274,-0.28071,-0.21525,0.6245,-0.30461,-0.19193,-0.2232,1.52063,-0.9702,-0.23907,-0.24428,-0.59064,0.71192,-0.39487,0.43325,-0.2726,-0.10657,0.25603,-1.44011,-0.61027,0.80661,-0.56862,0.35222,2.03233,2.25472,-0.26272,-0.74525,-0.202,0.73019,-0.27646,-0.15406,-0.32482,1
seq54|1|positive,-0.12018,-0.19379,-0.21457,-0.16183,-0.08533,-0.10337,-0.13806,-0.12242,-0.20692,-0.1858,-0.23447,-0.12964,-0.19517,-0.19811,-1.13008,1.03424,0.09666,-0.92396,0.24475,0.016,-0.21279,-0.24405,-0.8111,1.94744,-0.79504,-0.22454,-0.9666,-0.1838,-0.17439,-0.19637,1.42621,-0.24009,0.58114,-0.19169,0.01251,-0.11228,-0.75649,2.03788,3.23946,-0.28071,-0.21525,-0.45326,-0.30461,-0.18668,-0.2232,-0.48603,0.39451,-0.23907,-0.24428,-0.59064,-0.86265,0.28071,-0.91946,3.55565,-0.10657,0.83074,1.03215,-0.39957,-0.89059,0.95014,1.55762,-1.82625,0.33373,-0.25034,-0.71665,-0.202,0.73019,-0.25865,-0.14692,-0.0071,1
seq55|1|positive,-0.11095,-0.18856,-0.2091,-0.15482,-0.07225,-0.09315,-0.13369,-0.11764,-0.19106,-0.18079,-0.21972,-0.11264,-0.16763,-0.17958,-0.29463,-0.51986,-0.8207,-0.92396,-0.48612,-0.62717,-0.19653,4.16513,0.02854,-0.38354,-0.79504,-0.22454,-0.9666,-0.1838,-0.16751,-0.16481,1.11218,-0.22001,0.38553,-0.19169,-1.01935,-0.1022,0.26899,0.51339,1.17986,-0.28071,-0.21525,1.62249,-0.30461,-0.17555,-0.2232,-0.0323,0.52003,-0.23907,-0.24428,-0.59064,0.09057,-0.00086,-0.00647,-0.2663,-0.10657,2.02798,0.98004,-1.79018,-1.51588,0.21276,1.59805,-0.59996,-0.15089,-0.22407,-0.64513,-0.202,-1.36951,-0.22085,-0.13176,0.97005,1
seq56|1|positive,-0.13671,-0.20317,-0.22436,-0.17438,-0.10878,-0.12167,-0.14589,-0.13098,-0.23533,-0.19477,3.58025,-0.16009,-0.24449,-0.2313,1.22156,-0.51986,1.12522,0.30798,-0.27295,-1.00235,-0.24192,-0.26029,0.97939,-1.28894,-0.79504,-0.22454,-0.40642,-0.1838,-0.18672,-0.25291,1.19528,-0.27606,0.38553,-0.19169,-1.01935,-0.13034,-0.75649,0.21696,-0.52539,-0.28071,-0.21525,-0.61727,-0.30461,-0.20662,-0.2232,0.08362,1.17018,-0.23907,-0.24428,-0.59064,0.46853,-0.60803,-0.0095,-0.27826,-0.10657,-0.26549,-0.22495,-0.14673,0.39676,0.34671,1.08387,-0.44972,0.33666,-0.2974,-0.812,-0.202,0.73019,-0.32637,-0.17406,0.25175,1
seq57|1|positive,-0.14425,-0.20744,-0.22883,-0.18011,-0.11946,-0.13001,-0.14945,-0.13489,-0.24827,-0.19886,-0.27295,-0.17397,-0.26697,-0.24643,-1.07439,0.70061,0.69712,1.1806,1.17662,1.84903,-0.25519,-0.26769,-0.66338,0.28256,-0.79504,-0.22454,-0.47721,-0.1838,-0.19234,-0.27867,-0.05164,3.00321,-0.29911,-0.19169,2.59216,-0.13857,2.35621,-1.3541,-0.30836,-0.28071,-0.21525,-1.06231,-0.30461,-0.21571,-0.2232,0.1473,-2.28603,-0.23907,-0.24428,-0.59064,-0.27185,3.19489,2.3776,2.88319,-0.10657,-0.29148,-1.21692,2.59234,-0.2324,-1.04255,0.71346,-0.81121,0.56073,-0.31883,-0.84538,-0.202,-1.36951,-0.35722,-0.18643,2.42767,1
seq58|1|positive,-0.13671,-0.20317,-0.22436,-0.17438,-0.10878,-0.12167,-0.14589,-0.13098,2.86092,-0.19477,-0.26091,-0.16009,-0.24449,-0.2313,1.22156,-0.51986,0.93063,0.50098,-0.05978,-1.75271,-0.24192,-0.26029,0.86556,0.47105,-0.14432,-0.22454,-0.9666,-0.1838,-0.18672,-0.25291,0.98481,-0.27606,-0.52732,-0.19169,-0.2168,-0.13034,-0.75649,1.99553,-0.21535,4.20706,-0.21525,1.09193,-0.30461,-0.20662,-0.2232,-0.74764,0.6427,-0.23907,-0.24428,-0.59064,1.12708,-0.34635,-1.0911,-0.27826,-0.10657,-0.47933,-1.01125,0.06397,0.39676,-0.29143,1.59464,0.10472,0.7628,-0.2974,-0.812,-0.202,-1.36951,-0.32637,-0.17406,-0.48078,1
seq59|1|positive,-0.15139,-0.2115,3.60851,-0.18553,9.06603,-0.13792,-0.15284,-0.13859,-0.26055,-0.20274,-0.28438,-0.18713,-0.28828,-0.26077,-0.47185,0.65069,0.66527,-0.92396,-0.77681,0.49838,-0.26778,-0.2747,0.18015,-0.19497,-0.79504,-0.22454,0.44135,3.68079,-0.19766,-0.3031,-1.03498,-0.30799,1.00793,-0.19169,0.95056,-0.14637,-0.75649,0.51339,1.39126,-0.28071,-0.21525,-0.38526,-0.30461,-0.22432,-0.2232,-0.9377,-0.13949,-0.23907,-0.24428,1.62197,0.46643,1.37421,-0.13547,-0.28507,-0.10657,1.45456,-0.11257,2.50806,-1.51588,0.94108,0.32484,-2.01085,0.42842,-0.33917,-0.87268,-0.202,0.73019,-0.38649,-0.19816,-0.09358,1
seq60|1|positive,-0.14425,-0.20744,3.80987,-0.18011,-0.11946,-0.13001,-0.14945,-0.13489,-0.24827,-0.19886,-0.27295,-0.17397,-0.26697,-0.24643,1.65475,-0.51986,-1.05421,1.05741,-0.74193,-0.51461,-0.25519,-0.26769,0.27055,-0.50203,0.9402,-0.22454,-0.9666,-0.1838,-0.19234,3.60692,0.71756,-0.29244,-1.12067,-0.19169,0.42525,-0.13857,-0.75649,0.51339,-0.30836,-0.28071,-0.21525,-2.1822,-0.30461,-0.21571,-0.2232,-0.9344,0.80182,-0.23907,-0.24428,-0.59064,-1.1806,-0.77766,0.1358,2.88319,-0.10657,0.05312,0.30769,0.9489,-1.51588,0.60798,1.04305,0.41242,0.21987,-0.31883,-0.84538,-0.202,-1.36951,-0.35722,-0.18643,0.16938,1
seq61|1|positive,-0.11566,-0.19123,-0.21189,-0.1584,-0.07893,-0.09837,-0.13592,-0.12008,-0.19915,-0.18334,-0.22725,-0.12131,-0.18169,-0.18904,-0.44458,-0.51986,0.21213,-0.92396,-0.24015,0.23864,-0.20483,-0.23961,-1.20992,-0.57464,0.15146,-0.22454,-0.9666,-0.1838,-0.17102,-0.18092,-0.17019,-0.23026,0.17487,-0.19169,1.20311,-0.10735,-0.75649,1.53949,2.28888,4.20706,-0.21525,-1.26248,-0.30461,-0.18124,-0.2232,0.13937,-0.58558,-0.23907,4.46326,1.76026,0.31451,-1.02763,-0.57492,-0.26849,-0.10657,0.0809,1.21539,-1.11594,-0.83849,-0.43262,0.13345,-0.66732,0.16163,-0.23748,-0.68364,-0.202,0.73019,-0.24014,-0.1395,-0.01548,1
seq62|1|positive,-0.11095,-0.18856,-0.2091,-0.15482,-0.07225,-0.09315,-0.13369,-0.11764,-0.19106,-0.18079,-0.21972,-0.11264,-0.16763,-0.17958,0.35516,-0.51986,1.80629,0.52973,2.39169,-0.62717,-0.19653,8.56525,0.00655,-0.54813,-0.79504,-0.22454,-0.9666,-0.1838,-0.16751,-0.16481,3.19244,-0.22001,-0.29911,-0.19169,0.18448,-0.1022,0.37791,1.84731,3.04014,-0.28071,-0.21525,-0.53716,-0.30461,-0.17555,-0.2232,-0.02131,0.8766,-0.23907,-0.24428,2.0961,-0.50799,-1.59924,0.87833,-0.2663,-0.10657,-1.88484,1.75497,-1.45306,0.70105,1.25489,0.64824,-0.29571,0.55588,-0.22407,-0.64513,6.99793,-1.36951,-0.22085,-0.13176,1.92186,1
seq63|1|positive,-0.14425,-0.20744,-0.22883,-0.18011,-0.11946,-0.13001,-0.14945,-0.13489,-0.24827,-0.19886,-0.27295,-0.17397,-0.26697,-0.24643,0.09525,-0.51986,1.04738,1.55018,0.4092,0.83604,-0.25519,-0.26769,-0.87327,0.15695,-0.79504,-0.22454,0.42117,-0.1838,-0.19234,-0.27867,1.91555,3.00321,0.11168,-0.19169,-0.29705,-0.13857,1.36144,-1.62089,-0.5874,-0.28071,-0.21525,-1.44894,-0.30461,-0.21571,-0.2232,0.27949,-0.54549,-0.23907,-0.24428,0.66317,0.96558,-0.31455,0.93087,-0.28176,-0.10657,-0.68054,-1.26947,1.62313,-0.66023,0.9407,0.12293,-0.1314,-0.34987,-0.31883,-0.84538,-0.202,0.73019,-0.35722,-0.18643,0.71696,1
seq64|1|positive,-0.12453,-0.19626,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,-0.21439,-0.18816,-0.24143,-0.13765,-0.20814,-0.20684,-0.68451,-0.51986,-0.70395,-0.92396,-0.35822,0.27327,-0.22045,-0.24832,0.20716,0.48406,0.00584,-0.22454,0.43158,-0.1838,-0.17764,-0.21124,-1.11979,-0.24955,0.93324,-0.19169,-1.01935,-0.11703,0.33522,-0.02018,-0.40137,-0.28071,-0.21525,-0.20831,3.20408,-0.19193,-0.2232,-0.08223,0.44553,4.68535,-0.24428,-0.59064,0.62398,0.98065,-0.21024,-0.2726,-0.10657,0.55989,2.02058,-0.48385,-0.35463,0.12351,-1.03767,-1.3859,-0.01807,-0.26272,-0.74525,-0.202,0.73019,3.33793,-0.15406,-0.92525,1
seq65|1|positive,-0.13671,-0.20317,-0.22436,-0.17438,10.11158,-0.12167,-0.14589,-0.13098,-0.23533,-0.19477,-0.26091,-0.16009,-0.24449,-0.2313,-0.51123,0.88975,-0.04233,-0.92396,0.36656,-0.25198,3.99123,-0.26029,0.12995,0.23952,-0.79504,-0.22454,0.72925,-0.1838,-0.18672,-0.25291,0.5465,-0.27606,0.84196,-0.19169,-1.01935,-0.13034,0.35371,-1.26517,-0.52539,-0.28071,-0.21525,-0.77727,-0.30461,-0.20662,-0.2232,0.26274,1.21945,4.68535,-0.24428,-0.59064,-0.47518,-0.64819,0.04803,-0.27826,-0.10657,1.58644,-0.71826,1.11746,-1.03772,2.42609,-0.39403,0.63836,0.32956,-0.2974,-0.812,-0.202,0.73019,-0.32637,-0.17406,-0.41743,1
seq66|1|positive,-0.14425,-0.20744,-0.22883,-0.18011,-0.11946,-0.13001,-0.14945,-0.13489,-0.24827,-0.19886,-0.27295,-0.17397,-0.26697,-0.24643,-0.68451,1.60694,1.74791,-0.92396,-0.74193,-0.17695,-0.25519,-0.26769,0.45284,1.66707,-0.79504,-0.22454,3.2976,-0.1838,-0.19234,-0.27867,-1.47056,3.00321,2.16559,-0.19169,-1.01935,-0.13857,-0.75649,-0.82053,-0.30836,-0.28071,2.47062,0.88646,2.22944,-0.21571,2.95208,1.21706,1.22567,-0.23907,-0.24428,1.91698,1.12017,0.47266,-1.08902,-0.28176,-0.10657,0.39891,-0.76869,1.66527,-1.08805,1.27938,-1.45563,2.0887,-1.25223,-0.31883,-0.84538,-0.202,0.73019,-0.35722,-0.18643,-0.85017,1
seq67|1|positive,-0.10602,-0.18576,-0.20618,-0.15107,-0.06525,-0.08769,-0.13135,-0.11509,-0.18259,-0.17811,-0.21183,-0.10355,-0.15292,-0.16968,0.59145,-0.51986,-1.40448,0.15809,-1.12564,-1.65039,-0.18784,-0.23014,1.14853,0.85815,1.51861,-0.22454,-0.9666,-0.1838,-0.16384,-0.14795,1.44619,-0.20929,-1.60614,-0.19169,-1.01935,-0.09682,0.37506,0.27086,0.37656,-0.28071,-0.21525,0.10089,-0.30461,-0.16961,-0.2232,0.00803,0.50461,-0.23907,-0.24428,-0.59064,-0.55029,0.20227,-0.21687,-0.26401,-0.10657,-0.25282,-0.22468,-1.95874,0.92274,0.60788,0.245,0.57756,1.08752,-0.21004,-0.59962,-0.202,-1.36951,-0.20065,-0.12366,0.44451,1
seq68|1|positive,-0.11095,-0.18856,-0.2091,-0.15482,-0.07225,-0.09315,-0.13369,-0.11764,3.65809,-0.18079,4.55547,-0.11264,-0.16763,-0.17958,1.00496,-0.51986,0.63874,-0.92396,-0.16636,-0.62717,-0.19653,-0.23498,0.22991,0.58604,0.24611,-0.22454,-0.9666,-0.1838,-0.16751,-0.16481,-0.29347,-0.22001,-0.29911,-0.19169,0.18448,-0.1022,-0.75649,0.51339,-0.21535,-0.28071,-0.21525,1.20094,-0.30461,-0.17555,-0.2232,-2.4007,-0.83034,-0.23907,-0.24428,-0.59064,0.43367,-1.51653,0.62147,-0.2663,-0.10657,-0.01509,0.95478,-1.9166,0.70105,-1.05901,-0.30089,-1.47398,-1.30139,-0.22407,-0.64513,-0.202,-1.36951,-0.22085,-0.13176,-1.09382,1
seq69|1|positive,-0.12018,-0.19379,-0.21457,-0.16183,-0.08533,-0.10337,-0.13806,-0.12242,-0.20692,-0.1858,-0.23447,-0.12964,2.53702,-0.19811,-0.01615,1.63413,-0.9041,0.38189,-0.57748,-0.46637,-0.21279,-0.24405,0.52229,-0.70044,2.67543,-0.22454,-0.9666,-0.1838,-0.17439,-0.19637,-0.65364,-0.24009,-0.00569,-0.19169,0.01251,-0.11228,-0.75649,0.51339,0.84767,-0.28071,-0.21525,-1.12787,-0.30461,-0.18668,-0.2232,-0.00631,-0.5556,-0.23907,-0.24428,1.49905,-0.62435,-1.16533,0.96955,-0.27059,-0.10657,-0.80123,-0.64009,-1.24236,-1.51588,-1.0729,-0.94906,0.12339,0.29371,-0.25034,-0.71665,5.55794,-1.36951,-0.25865,-0.14692,1.17538,1
seq70|1|positive,-0.14425,-0.20744,-0.22883,-0.18011,-0.11946,-0.13001,-0.14945,6.92671,-0.24827,-0.19886,-0.27295,-0.17397,-0.26697,-0.24643,0.09525,0.74404,0.87225,1.34486,1.36847,-0.17695,-0.25519,-0.26769,0.33902,-0.46934,-0.21662,-0.22454,0.55397,-0.1838,-0.19234,-0.27867,0.54666,-0.29244,0.52246,-0.19169,-0.29705,-0.13857,-0.75649,0.51339,-0.02932,-0.28071,-0.21525,-0.67648,-0.30461,-0.21571,-0.2232,0.08652,0.83255,-0.23907,-0.24428,-0.59064,0.13131,-3.099,0.88207,-0.28176,-0.10657,0.0422,-0.20513,0.61178,-1.51588,0.83975,0.11104,-0.16433,0.42185,-0.31883,-0.84538,-0.202,0.73019,-0.35722,-0.18643,0.12387,1
seq71|1|positive,-0.12872,-0.19864,-0.21963,-0.16832,-0.09745,-0.11283,-0.1421,-0.12685,-0.2216,-0.19043,-0.24813,-0.14537,-0.22066,-0.21526,-0.29463,-0.51986,-1.40448,-0.41886,-1.12564,0.49838,-0.22784,-0.25244,-0.30444,-0.48569,-0.79504,-0.22454,-0.9666,-0.1838,-0.18076,-0.22558,1.80316,-0.25868,-0.29911,-0.19169,-1.01935,-0.12161,-0.75649,-2.15446,-1.14549,-0.28071,-0.21525,-1.15885,-0.30461,-0.19699,-0.2232,0.02234,1.48136,-0.23907,-0.24428,-0.59064,0.00843,-0.55988,-1.95679,-0.27455,-0.10657,-0.03784,0.83803,-0.48385,-1.51588,-2.03384,2.13526,-0.1448,-1.75163,-0.27466,-0.77029,-0.202,0.73019,-0.29364,-0.16094,2.24604,1
seq72|1|positive,-0.13278,-0.20094,-0.22203,-0.1714,-0.1032,-0.11732,-0.14403,-0.12895,-0.22857,-0.19264,-0.25462,-0.15285,-0.23276,-0.22341,-2.24402,-0.51986,1.27402,-0.92396,0.45434,2.28601,-0.23499,-0.25643,-1.05165,-1.53724,0.59315,-0.22454,-0.39356,-0.1838,-0.18379,-0.23946,0.79497,-0.2675,-0.41992,-0.19169,-1.01935,-0.12605,1.39885,-0.899,0.16765,-0.28071,-0.21525,-1.17938,-0.30461,-0.20188,-0.2232,0.0043,-1.10342,-0.23907,-0.24428,0.97662,-0.55347,0.98001,0.32246,-0.27644,-0.10657,0.61126,-0.12421,0.69606,0.00826,1.21355,-0.03689,1.09738,0.47786,-0.2862,-0.79237,-0.202,0.73019,-0.31026,-0.16761,0.51458,1
seq73|1|positive,-0.14425,-0.20744,-0.22883,-0.18011,-0.11946,-0.13001,-0.14945,-0.13489,-0.24827,-0.19886,-0.27295,-0.17397,-0.26697,-0.24643,0.48512,-0.51986,0.87225,-0.92396,1.36847,0.83604,-0.25519,-0.26769,0.36226,-0.33275,0.36179,-0.22454,0.22456,-0.1838,-0.19234,-0.27867,-0.42065,-0.29244,-1.53146,-0.19169,0.42525,-0.13857,-0.75649,1.04696,-0.5874,-0.28071,-0.21525,1.53504,-0.30461,-0.21571,-0.2232,1.57668,-0.84494,-0.23907,-0.24428,-0.59064,-0.74953,0.70384,-1.39464,-0.28176,-0.10657,-0.04643,0.68845,0.19038,1.05109,-1.5923,-0.64745,0.74491,-0.2794,-0.31883,-0.84538,-0.202,-1.36951,2.74536,-0.18643,0.10056,1
seq74|1|positive,-0.14425,-0.20744,-0.22883,-0.18011,-0.11946,-0.13001,-0.14945,-0.13489,-0.24827,-0.19886,-0.27295,-0.17397,-0.26697,-0.24643,-1.46426,0.62958,0.34685,2.08402,0.02549,1.51137,-0.25519,-0.26769,-1.29229,1.11609,-0.79504,-0.22454,-0.9666,-0.1838,-0.19234,-0.27867,0.65011,-0.29244,-0.70989,-0.19169,2.59216,-0.13857,0.31605,1.58053,2.7611,-0.28071,-0.21525,-1.38889,-0.30461,-0.21571,-0.2232,-0.00093,-1.25525,-0.23907,-0.24428,-0.59064,-1.94454,-0.02934,0.37642,2.88319,-0.10657,-1.34074,2.93187,2.17095,0.19543,-0.8519,0.90208,-1.4552,0.30941,-0.31883,-0.84538,-0.202,-1.36951,-0.35722,-0.18643,1.209,1
seq75|1|positive,-0.12453,-0.19626,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,-0.21439,-0.18816,-0.24143,-0.13765,-0.20814,-0.20684,-1.20435,-0.51986,0.23009,-0.92396,-0.61402,0.72349,-0.22045,-0.24832,-1.7755,-0.04033,-0.79504,-0.22454,0.26606,-0.1838,-0.17764,-0.21124,-0.02049,-0.24955,1.48095,-0.19169,0.90678,-0.11703,1.29555,1.40267,2.57507,-0.28071,-0.21525,1.02668,-0.30461,-0.19193,-0.2232,-0.56115,-1.97341,-0.23907,3.73903,1.29008,-0.35479,-0.79541,2.26933,-0.2726,-0.10657,1.96333,-0.91575,0.23252,-0.93526,-1.24702,-0.37185,1.01059,0.51025,-0.26272,-0.74525,-0.202,0.73019,-0.27646,-0.15406,-0.38453,1
seq76|1|positive,-0.14425,-0.20744,-0.22883,-0.18011,-0.11946,-0.13001,-0.14945,-0.13489,-0.24827,-0.19886,-0.27295,-0.17397,-0.26697,3.1754,-0.68451,-0.51986,-0.87908,-0.92396,-0.55007,1.17371,-0.25519,-0.26769,-0.10998,-0.14231,0.9402,-0.22454,-0.9666,-0.1838,4.89079,-0.27867,0.8598,-0.29244,-1.94224,-0.19169,0.42525,-0.13857,-0.75649,0.78018,0.52877,-0.28071,-0.21525,-1.84306,-0.30461,-0.21571,-0.2232,0.32725,0.5747,-0.23907,-0.24428,-0.59064,0.83326,0.32547,-0.81384,6.04814,-0.10657,-1.8589,1.07995,0.90676,0.19543,-0.47537,1.13854,1.36018,-0.07052,-0.31883,-0.84538,3.39796,-1.36951,-0.35722,-0.18643,1.55971,1
seq77|1|positive,-0.12453,-0.19626,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,-0.21439,-0.18816,-0.24143,-0.13765,-0.20814,-0.20684,-1.20435,-0.51986,-0.23693,-0.92396,0.15339,2.07414,-0.22045,-0.24832,-0.86129,-0.09248,-0.79504,-0.22454,-0.9666,-0.1838,-0.17764,-0.21124,-0.59541,-0.24955,-1.80531,-0.19169,1.86985,-0.11703,-0.75649,1.75839,-0.02932,-0.28071,-0.21525,-0.72576,-0.30461,-0.19193,-0.2232,0.13611,-0.9615,-0.23907,-0.24428,-0.59064,-0.02762,-1.71735,-0.65051,3.41445,-0.10657,-1.05477,-0.70944,-0.65241,0.80661,-2.6666,0.51139,-0.0398,-1.51048,-0.26272,-0.74525,-0.202,0.73019,-0.27646,-0.15406,-1.0982,1
seq78|1|positive,-0.12453,-0.19626,-0.21715,-0.16513,-0.0915,-0.10818,-0.14012,-0.12467,-0.21439,4.12343,-0.24143,-0.13765,-0.20814,-0.20684,1.39484,-0.51986,1.63116,0.66319,2.19984,-0.62717,-0.22045,3.65197,-0.37242,-0.18377,-0.79504,-0.22454,-0.37826,-0.1838,-0.17764,-0.21124,1.36648,-0.24955,-0.16218,5.3648,0.90678,-0.11703,0.29126,1.04696,1.45891,-0.28071,-0.21525,1.01138,-0.30461,-0.19193,-0.2232,-0.68565,-0.89477,-0.23907,-0.24428,-0.59064,0.26053,0.05641,0.70999,3.41445,-0.10657,0.93673,3.32809,-0.52599,0.22599,-0.70337,1.27652,-0.80376,-0.382,-0.26272,-0.74525,-0.202,-1.36951,-0.27646,-0.15406,-0.51098,1
seq79|1|positive,-0.12872,-0.19864,4.32577,-0.16832,-0.09745,-0.11283,-0.1421,-0.12685,-0.2216,-0.19043,-0.24813,-0.14537,-0.22066,-0.21526,0.19271,-0.51986,-1.40448,0.44554,-1.12564,0.92046,-0.22784,-0.25244,-0.75711,-0.87557,-0.79504,-0.22454,0.17183,-0.1838,-0.18076,-0.22558,1.04458,-0.25868,-0.81259,-0.19169,0.7864,-0.12161,0.33244,1.18035,2.34254,-0.28071,-0.21525,-0.73104,-0.30461,-0.19699,-0.2232,0.59562,-1.01849,-0.23907,-0.24428,-0.59064,-1.38621,0.28311,0.12102,3.28748,-0.10657,-0.29965,-0.12907,0.19038,-0.97397,-1.45126,-0.09293,0.00764,0.9247,-0.27466,-0.77029,-0.202,0.73019,-0.29364,-0.16094,-0.94774,1
seq80|1|positive,-0.12872,-0.19864,-0.21963,-0.16832,-0.09745,-0.11283,-0.1421,-0.12685,-0.2216,-0.19043,-0.24813,-0.14537,2.32287,-0.21526,-0.29463,1.33094,-0.74773,-0.92396,-0.40618,0.49838,-0.22784,-0.25244,0.83027,-1.52732,-0.05136,-0.22454,1.25981,-0.1838,-0.18076,-0.22558,-1.65187,3.45046,1.24133,-0.19169,-1.01935,-0.12161,-0.75649,1.51383,1.64493,-0.28071,-0.21525,0.44188,-0.30461,-0.19699,-0.2232,-1.70385,0.77435,-0.23907,-0.24428,1.1191,0.40289,-0.13324,-1.4964,-0.27455,-0.10657,-1.53939,0.15477,-0.10459,-1.51588,0.7821,0.58673,0.11774,0.3197,3.36487,-0.77029,-0.202,0.73019,-0.29364,-0.16094,-0.62088,1
seq81|1|positive,-0.14425,-0.20744,3.80987,4.99754,-0.11946,-0.13001,-0.14945,-0.13489,-0.24827,-0.19886,-0.27295,-0.17397,-0.26697,-0.24643,-0.68451,-0.51986,0.17172,-0.92396,0.02549,0.16072,-0.25519,-0.26769,0.04069,-0.49924,-0.21662,-0.22454,0.05075,-0.1838,-0.19234,-0.27867,-0.99018,-0.29244,0.11168,-0.19169,1.14755,-0.13857,-0.75649,1.04696,1.92398,-0.28071,-0.21525,-0.77939,-0.30461,-0.21571,-0.2232,-0.60372,-0.06816,-0.23907,2.63255,0.66317,0.67581,1.05216,-0.20084,-0.28176,-0.10657,-0.73676,0.33114,1.74955,-0.66023,0.74796,0.57397,0.62343,0.00686,-0.31883,-0.84538,-0.202,0.73019,-0.35722,-0.18643,-0.22527,1
